product_name,price (INR),rating,URL,reviews,ASIN,Description,Manufacturer
URBAN TRIBE Fitpack Neo Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym backpack with Shoe Compartment,"1,829",3.8 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTk4NzUxNTkzMDEyNjU1OjE2OTc2NDQ2Nzg6c3BfYXRmOjMwMDA3NDk2NDM5NTMzMjo6MDo6&url=%2FUrban-Tribe-Backpack-Separate-Compartment%2Fdp%2FB07SKBCWJJ%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644678%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,660, B07SKBCWJJ,"A smaller yet hyperfunctional backpack in the Fitpack series. This stylish backpack for college students is compact and super light with amazing features. It has three compartments to keep all your daily essentials. One laptop compartment that can accommodate a 15.6 inch laptop as well as a tab. A front compartment with an organizer so good it can hold all your stationery and electronic gadgets and accessories. Moreover, there is a keyholder so you can access your keys when you need them without having to fish for them. In addition to that, the front pocket can hold some books as well as a diary. You can fit a few other miscellaneous items you may need during the day. Another helpful compartment is the separate shoe compartment. You can use this to keep an extra pair of shoes or sandals if you may need them. The back padding and shoulder straps are well ventilated and soft. The bag is designed with reflective branding to keep you safe in the dark. It warns others of your presence and avoids accidents. Fitpack Neo is not only a stylish backpack for college students but also a great travel backpack. Just throw in your clothes and travel essentials and hit the road."," BACKPACK INTERNATIONAL PVT LTD, Backpack International Pvt Ltd, Contact no +919769487901"
URBAN TRIBE Fitpack Pro Multipurpose Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Gym Backpack with Shoe Compartment,"2,289",3.9 out of 5 stars,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMTk4NzUxNTkzMDEyNjU1OjE2OTc2NDQ2Nzg6c3BfYXRmOjMwMDA3NDk3MDU0MjEzMjo6MDo6&url=%2FUrban-Tribe-Backpack-Separate-Compartment%2Fdp%2FB07KFGNWH8%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1697644678%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,361, B07KFGNWH8,"Product Description
COMPARTMENTALIZE
Separate compartments and organizer pockets for your gym and office essentials.
Quick Access Pocket
The Quick Access Pocket is a feature that reduces life’s niggling burdens. Stowaway the things that you will need at a moment’s notice. Your glasses, your headphones, your keys, the works.
Card Holder
Keep your metro card handy, in this easy to access pocket, while on the go.
Secret Pocket
Keep your phone, wallet and power bank in this pocket when you're in crowded spaces.
Urban Tribe Fitpack Pro Laptop Backpack with Separate Shoe Compartment and USB Charging Port
After months of trials & tests, we are proud to present to you, our new & improved Fitpack Pro. One of the best backpacks for men out there is available in three colors – Camo Green, Navy Blue and Black.
Fitpack Pro can straddle both your work and workout routine on a daily basis with absolute ease & style. Crafted with a tough Denier waterproof fabric, this 35 L beast will not only manage but also fuel your fast life."," BACKPACK INTERNATIONAL PVT LTD, Backpack International Pvt Ltd, Contact no +919769487901"
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,799,4.3 out of 5 stars,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-4,"6,886", B07M9BRCQ5,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel," Fur Jaden, 3-C, Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002, 8080888028"
Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag,689,4.1 out of 5 stars,https://www.amazon.in/Wesley-Spartan-Hiking-Raincover-Organiser/dp/B098QFF5TJ/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-6,"1,956", B098QFF5TJ,Wesley Spartan Unisex Travel Hiking Laptop Bag fits Upto 17.3 inch with Raincover and Internal Organiser Backpack Rucksack College Bag," Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507"
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7 out of 5 stars,https://www.amazon.in/TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-7,"2,773", B09QJ7ZF2Y,"Product Description
Key features
USB Charging Port
A USB charging connector is available on the laptop backpack, which is perfect for charging your phone or other electronic devices when in need.
Anti-theft System
Your valuable belongings will be protected from theft by the bag's well-managed anti-theft system which comprises hidden zippers and pockets.
Trolley Strap & Anti-theft Back Pocket
The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Back hidden anti theft pocket can hold your wallet, phone etc.
Multi-Level Organizer
The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band
Laptop sleeve special
In this backpack special padded laptop sleeve this is product your laptop and tab etc.
Premium Material
This multifunctional bag is made of high quality Water Repellent polyester material. For the inner lining, soft feel premium quality polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, of premium quality and durable.
Only usb port not power bank
A USB charging connector is available on the laptop backpack, but we have not pervoide power bank in this backpack. please take care this instruction."," Wesley, Longani Trading Company, F-82, Sector-1, Bawana Industrial Area, Delhi-110039. Ph-9560940507"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",749,4.1 out of 5 stars,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-9,"6,672", B09VTDMRY7,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."," FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-10,"3,853", B09VCLZ3K4,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", Amazing Bags
ADISA 32 Ltrs Water Resistant Casual Travel Bagpack/College Backpack/School Office Bag for Men and Women,374,3.9 out of 5 stars,https://www.amazon.in/ADISA-BP010-Weight-Casual-Backpack/dp/B07MXL986B/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-14,"4,292", B07MXL986B,"Product Description
ADISA Casual Backpack
Light weight and spacious casual backpack with 3 compartments and 1 front easy-access pocket. The back compartment is fully padded for cushioning. The middle compartment has organizer for pens, visiting cards, etc along with space for carrying papers, files, books, etc. It is spacious enough to keep all your stuff. It has provision for holding bottles on both sides and has adjustable padded shoulder straps for your comfort. The logo of the bag is Reflective so it will glow when light hits it which is a very important safety feature, specially when on road.It is a simple looking backpack with no loud prints or designing which suits the taste of all kinds of users. The design is very practical having large size with plenty of pockets and provisions. No matter how much stuff you have, you will never be short of space.
Large Size
Wide and Deep
Padded Back and Straps
Easy on Shoulders"," ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",639,4.1 out of 5 stars,https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTCNN75/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-16,"6,672", B09VTCNN75,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels."," FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9 out of 5 stars,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-17,"3,853", B0BJ32LQ6X,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.", Amazing Bags
"Half Moon 35L Water Resistant 15.6 inch Laptop Bag/ Backpack, Navy Blue | Office Bag for Men and Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",399,3.9 out of 5 stars,https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-18,"17,616", B085MHDJ93,"Product Description
Half Moon Backpack - A Quality of Backpacks
We(Half Moon) are sellers and manufacturers of various types of Customized Bags. Our product array comprises Backpacks, Sports Bags, Duffel Bags, Drawstring Bags, etc. These bags accomplish the customer's specifications and requirements. We provide these bags in numerous colors, designs, shapes, shades, patterns, etc. Our bags are known for lightweight, easy carrying, versatile usage, and durable nature.
Features
DURABLE MATERIAL: Made with strong polyester fabric with heavy zippers. Serves the need of a professional office laptop bag, college bag, student backpack, school bag and is suitable for all, i.e. boys, girls, men and women.
COMFY & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers.
INNER MATERIAL: The material used in the inner compartments is thin yet strong and durable so, be assured of its quality. Thin material is used inside to make it lightweight & comfortable in carrying and to protect it from wear & tear.
LOTS OF STORAGE SPACE & POCKETS: One separate Padded laptop compartment. Multiple compartments can store lots of stuff, that too organised.
OTHER FEATURES: Rain cover, Reflector logo, Two water bottle/umbrella pockets, Secret-pocket at bottom for Rain cover and other stuffs, High-Quality zippers, Bartacks on pressure points for extra strength, Ergonomic design, etc.
Casual Stylish Backpack
This trendy backpack comes with multiple pockets and compartments and is very spacious and can accommodate all your stuff and will still be left with more space. With all features like padded handle, padded laptop compartment, reflector logo, bottle pockets, rain/dust cover etc, there is nothing that this backpack does not offer.
Backpack for Every Needs
This MADE IN INDIA Product features 3 large zippered compartments, 2 water bottle /umbrella pockets, Rain cover, Laptop Compartment, Top padded Handle for comfort. Its ergonomics comfortable design makes you forget the load you are carrying,
Spacious compartments
This casual backpack comes with three spacious zippered compartments which can accommodate your notebooks and other essentials with ease. Store your umbrella, notebooks and water bottle in this spacious bag and move around comfortably all day.
Comfort & Quality
This casual bag has Wide, Padded and Adjustable shoulder straps and Padded Back for comfort in carrying heavy items. Stitched properly and Bartacks on every pressure point for extra durability.
Rain / Dust Cover
This backpack includes a separate rain/dust cover which can be very handy. It keeps your valuables safe and secure from rain and dust and keeps the backpack neat and clean for a longer period of time.
Proudly Made in India
Half Moon is proud to be an Indian Brand. We understand the importance of Indian manufacturing and supply chains. It is the time when we revive local industries that's why this bag is Made in India by Indians using Indian materials.
Shipped Directly from Factory
Half Moon offers high-quality bags at the lowest prices. We offer bags directly from factory to the customer to provide the bag at lowest prices possible.
Half Moon 35L Casual Waterproof Laptop Office School Backpack with Rain Cover Half Moon Large 37L Laptop College School Bag Backpack for Men & Women Half Moon 35 L 15.6 inch Waterproof Laptop Office School Bag Backpack Rain Cover Half Moon 35 L Waterproof Laptop Office School Bag Backpack with Rain Cover Half Moon Water resistant Travelling Laptop Rucksack Backpack
Size & Dimensions 48 x 35 x 21 cm 22 x 30 x 50 cm 48 x 35 x 21 cm 48 x 35 x 21 cm 49 x 36 x 22 cm
Color Navy Blue Available in Navy/Black/Sky Blue Black Navy & Orange Black
Capacity 35 Litres 37 Litres 35 Litres 35 Litres 35 Litres
Bar-tacks ✓ ✓ ✓ ✓ ✓
Rain Cover ✓ ✓ ✓ ✓ ✓
Country of Origin India India India India India"," Amazing Bags, Half_Moon, New Delhi"
Sfane Polyester 23cms Duffle/Shoulder/Gym Bag for Men & Women with Separate Shoe Compartment (Grey),365,4.3 out of 5 stars,https://www.amazon.in/SFANE-Duffel-Shoulder-Women-Compartment/dp/B07XXFB9CZ/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-19,"8,414", B07XXFB9CZ,"Sfane Sports Bag practical everyday sizing make it great for hauling just about anything.Big compartments holds Sports Clothing, Gloves, Shaker, Sports ball, Sports Accessories, etc. Or anything that might be wet or soiled. High quality provide years of dependable service. Made in India."," Sfane, Sfane Trends"
Impulse IMP linear 45L Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack Water Resistant Fits Up to 16 Inch Laptop with 1 Year Warranty,510,5.0 out of 5 stars,https://www.amazon.in/Impulse-IMP-linear-Resistant-Navy/dp/B0CJJ15CM7/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bags&qid=1697644678&sprefix=ba%2Caps%2C283&sr=8-20,4, B0CJJ15CM7,"Impulse Backpack are made to give you comfort and durability, It is light in weight one backpack for all your needs"," Sfane, Sfane Trends"
